School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Hermann,1.63,1.54,3.18,1,1,1
Veritas Christian Academy,1.22,1.14,2.36,2,2,2
St. Pius X (Festus),1.09,1.08,2.17,4,3,3
Valle Catholic,1.15,1.0,2.16,3,4,4
Arcadia Valley,1.04,0.97,2.01,5,5,5
Fatima,0.79,0.92,1.7,7,6,6
Woodland,0.89,0.8,1.69,6,7,7
Licking,0.71,0.67,1.38,8,8,8
Skyline,0.67,0.54,1.21,9,12,9
Jefferson (Festus),0.54,0.61,1.15,10,9,10
Cabool,0.53,0.61,1.13,13,10,11
El Dorado Springs,0.53,0.57,1.1,12,11,12
Stockton,0.53,0.46,0.99,11,13,13
Fair Grove,0.51,0.34,0.85,14,16,14
Liberty (Mountain View),0.47,0.3,0.76,15,17,15
Clever,0.31,0.34,0.65,17,15,16
West County,0.34,0.27,0.61,16,20,17
Lawson,0.21,0.36,0.57,21,14,18
Adrian,0.28,0.29,0.57,19,18,19
Maplewood-Richmond Hts.,0.27,0.29,0.56,20,19,20
Hallsville,0.3,0.25,0.55,18,22,21
St. Paul Lutheran (Concordia),0.15,0.2,0.35,24,23,22
Cole Camp,0.2,0.15,0.35,22,25,23
Crossroads College Preparatory,0.16,0.06,0.23,23,28,24
Summit Christian Academy,0.11,0.11,0.22,25,26,25
Saxony Lutheran,-0.04,0.26,0.22,33,21,26
New Heights Christian,0.03,0.16,0.19,28,24,27
East Buchanan,0.08,-0.0,0.08,26,29,28
Ash Grove,0.03,-0.05,-0.02,29,33,29
Metro,-0.09,0.07,-0.02,35,27,30
Whitfield,-0.03,-0.02,-0.05,32,31,31
St. Vincent,0.01,-0.08,-0.08,30,34,32
Mid-Buchanan,-0.01,-0.08,-0.09,31,35,33
Forsyth,-0.1,-0.04,-0.14,36,32,34
Tipton,-0.14,-0.01,-0.15,38,30,35
Barstow,0.06,-0.27,-0.2,27,42,36
Conway,-0.06,-0.16,-0.21,34,36,37
Sparta,-0.11,-0.17,-0.28,37,37,38
Holden,-0.17,-0.23,-0.39,39,39,39
Lone Jack,-0.28,-0.19,-0.47,45,38,40
Grandview (Hillsboro),-0.25,-0.27,-0.52,43,43,41
Pleasant Hope,-0.25,-0.3,-0.55,42,44,42
Clearwater,-0.29,-0.26,-0.55,47,40,43
Spokane,-0.28,-0.35,-0.64,46,46,44
Collegiate School of Med-Bio Science,-0.38,-0.26,-0.64,51,41,45
Butler,-0.18,-0.47,-0.65,40,52,46
Pierce City,-0.24,-0.43,-0.66,41,50,47
Malden,-0.31,-0.35,-0.66,49,45,48
Montgomery County,-0.26,-0.4,-0.66,44,48,49
New Haven,-0.42,-0.37,-0.79,54,47,50
Lafayette County,-0.34,-0.48,-0.81,50,53,51
STEAM Academy,-0.3,-0.52,-0.82,48,55,52
Diamond,-0.4,-0.44,-0.84,52,51,53
Caruthersville,-0.47,-0.4,-0.87,56,49,54
Sherwood,-0.45,-0.55,-1.0,55,59,55
Versailles,-0.42,-0.61,-1.03,53,62,56
Linn,-0.52,-0.52,-1.04,57,54,57
Hancock,-0.53,-0.56,-1.09,58,60,58
Gateway Science Charter,-0.55,-0.59,-1.14,61,61,59
Father Tolton,-0.59,-0.55,-1.14,62,58,60
Houston,-0.61,-0.54,-1.15,64,56,61
Carnahan,-0.54,-0.62,-1.16,60,65,62
Lathrop,-0.66,-0.55,-1.2,65,57,63
Central (New Madrid County),-0.54,-0.68,-1.21,59,68,64
Lexington,-0.6,-0.62,-1.22,63,63,65
Brentwood,-0.66,-0.67,-1.32,66,66,66
Portageville,-0.66,-0.67,-1.33,67,67,67
Warsaw,-0.77,-0.62,-1.39,71,64,68
Knob Noster,-0.69,-0.71,-1.4,68,69,69
Senath-Hornersville,-0.7,-0.74,-1.45,69,70,70
Cuba,-0.74,-0.81,-1.55,70,73,71
Greenville,-0.78,-0.81,-1.58,72,72,72
Windsor,-0.79,-0.84,-1.63,75,74,73
Principia,-0.78,-0.87,-1.66,74,76,74
Lutheran North,-0.88,-0.8,-1.68,77,71,75
Plattsburg,-0.78,-0.99,-1.76,73,81,76
Sarcoxie,-0.93,-0.85,-1.78,79,75,77
McKinley Classical Leadership,-0.92,-0.88,-1.8,78,77,78
Belle,-0.86,-1.0,-1.87,76,83,79
Trenton,-0.96,-0.96,-1.93,80,79,80
University Academy Charter,-1.0,-0.93,-1.93,83,78,81
Kingston,-1.0,-0.97,-1.97,84,80,82
Bowling Green,-1.0,-1.0,-2.0,82,82,83
East Newton,-1.05,-1.01,-2.06,86,84,84
North Technical,-0.98,-1.11,-2.09,81,88,85
Penney,-1.05,-1.1,-2.15,87,86,86
Valley Park,-1.03,-1.25,-2.28,85,90,87
Puxico,-1.19,-1.11,-2.3,89,87,88
Thayer,-1.26,-1.05,-2.32,91,85,89
Bourbon,-1.13,-1.24,-2.37,88,89,90
Marionville,-1.2,-1.32,-2.51,90,92,91
South Harrison,-1.4,-1.29,-2.69,92,91,92
Charleston,-1.47,-1.36,-2.84,95,93,93
Southwest (Washburn),-1.47,-1.41,-2.87,94,95,94
Carrollton,-1.49,-1.39,-2.88,96,94,95
North Callaway,-1.45,-1.47,-2.92,93,96,96
Frontier School of Excellence Charter,-1.82,-1.58,-3.4,98,97,97
Richmond,-1.8,-1.65,-3.45,97,99,98
Dixon,-1.84,-1.65,-3.48,99,98,99
East Prairie,-1.88,-1.78,-3.65,100,100,100
Brookfield,-1.91,-1.78,-3.69,101,101,101
